2022-05-04 11:52:20,541 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-04 11:52:21,087 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-04 11:52:22,500 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2022-05-04 11:52:23,252 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=631b716b-71e2-4216-a398-1f6c89ee7514{ip: 172.25.0.104, host: 63f782b8ff1c, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 949372419508, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-04 11:52:23,274 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=3a8fc154-b302-4e43-bb3c-750347f8eb04{ip: 172.25.0.103, host: b9b5f5626e18, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 951454573648, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-04 11:52:24,170 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=799cf875-66b5-4448-af49-2d4f3c55e297{ip: 172.25.0.102, host: 59763c0f6f96, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 953388450226, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-05-04 11:52:24,388 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=631b716b-71e2-4216-a398-1f6c89ee7514, command=[]} | ret=SUCCESS |  
2022-05-04 11:52:24,551 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=3a8fc154-b302-4e43-bb3c-750347f8eb04, command=[]} | ret=SUCCESS |  
2022-05-04 11:52:26,005 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=799cf875-66b5-4448-af49-2d4f3c55e297, command=[]} | ret=SUCCESS |  
2022-05-04 11:52:27,745 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=799cf875-66b5-4448-af49-2d4f3c55e297, command=[]} | ret=SUCCESS |  
2022-05-04 11:52:28,909 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=799cf875-66b5-4448-af49-2d4f3c55e297, command=[]} | ret=SUCCESS |  
