2022-04-08 11:48:55,992 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=8b7f16e2-5fb9-442f-a717-cc893c5795e0{ip: 172.25.0.103, host: 19c25d99ddaf, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 932981906868, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-08 11:48:56,068 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=0005597f-3053-4b02-96b8-efe2de95313b{ip: 172.25.0.102, host: e7d6b6474bc4, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 933750048452, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-08 11:48:57,179 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=8b7f16e2-5fb9-442f-a717-cc893c5795e0, command=[]} | ret=SUCCESS |  
2022-04-08 11:48:57,599 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:48:58,821 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=4cf3df89-7b36-4576-a18a-5d0c57ddb620{ip: 172.25.0.104, host: 1e89468786a9, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 936508841118, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-08 11:49:00,580 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:02,099 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:03,127 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:06,559 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=8b7f16e2-5fb9-442f-a717-cc893c5795e0, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:08,133 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:09,279 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:10,842 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:11,577 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:11,628 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:12,113 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:12,546 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=8b7f16e2-5fb9-442f-a717-cc893c5795e0, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:28,175 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=8b7f16e2-5fb9-442f-a717-cc893c5795e0, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:28,659 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:28,668 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:33,241 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=8b7f16e2-5fb9-442f-a717-cc893c5795e0, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:33,881 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:33,914 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:41,692 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:47,791 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=8b7f16e2-5fb9-442f-a717-cc893c5795e0, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:50,879 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:51,029 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=8b7f16e2-5fb9-442f-a717-cc893c5795e0, command=[]} | ret=SUCCESS |  
2022-04-08 11:49:51,152 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=0005597f-3053-4b02-96b8-efe2de95313b, command=[]} | ret=SUCCESS |  
2022-04-08 11:50:20,779 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=4cf3df89-7b36-4576-a18a-5d0c57ddb620, command=[]} | ret=SUCCESS |  
