2022-06-01 03:05:05,443 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-01 03:05:05,444 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-01 03:05:05,604 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2022-06-01 03:05:07,626 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=b6b6eb81-1bf6-4a4c-b74c-ddd3104b5df5{ip: 172.25.0.102, host: a01d3c91eccf, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1936943394030, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-01 03:05:07,664 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=2410eacd-0a9d-4dfc-877d-48727b6a4102{ip: 172.25.0.104, host: 8a138ad2bdc7, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1934988438840, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-01 03:05:07,866 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=65f7402d-1d21-4ab6-b8a9-547d48abe697{ip: 172.25.0.103, host: ozonesecure-ha_datanode2_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1935390395126, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-06-01 03:05:09,090 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=2410eacd-0a9d-4dfc-877d-48727b6a4102, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:09,122 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=b6b6eb81-1bf6-4a4c-b74c-ddd3104b5df5, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:09,858 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=65f7402d-1d21-4ab6-b8a9-547d48abe697, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:11,444 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=65f7402d-1d21-4ab6-b8a9-547d48abe697, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:16,375 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=b6b6eb81-1bf6-4a4c-b74c-ddd3104b5df5, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:18,277 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=65f7402d-1d21-4ab6-b8a9-547d48abe697, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:20,518 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=2410eacd-0a9d-4dfc-877d-48727b6a4102, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:21,457 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=65f7402d-1d21-4ab6-b8a9-547d48abe697, command=[]} | ret=SUCCESS |  
2022-06-01 03:05:21,648 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=65f7402d-1d21-4ab6-b8a9-547d48abe697, command=[]} | ret=SUCCESS |  
