2022-03-19 01:02:36,210 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=7d1eaa4e-e400-4e03-a920-fd0542b2202b{ip: 172.18.0.8, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-19 01:02:36,385 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=REGISTER {datanodeDetails=29c69501-8165-4795-a26d-77614e629e49{ip: 172.18.0.11, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-19 01:02:37,590 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=REGISTER {datanodeDetails=9b7b95df-92b7-45b6-9de9-370624c4fe57{ip: 172.18.0.10, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-03-19 01:02:37,632 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:37,714 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:37,944 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:38,569 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:39,008 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:39,070 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:39,965 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:43,562 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=7d1eaa4e-e400-4e03-a920-fd0542b2202b, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:43,961 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:44,905 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.10 | op=SEND_HEARTBEAT {datanodeUUID=9b7b95df-92b7-45b6-9de9-370624c4fe57, command=[]} | ret=SUCCESS |  
2022-03-19 01:02:49,130 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.11 | op=SEND_HEARTBEAT {datanodeUUID=29c69501-8165-4795-a26d-77614e629e49, command=[]} | ret=SUCCESS |  
