2022-07-12 01:20:39,766 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-12 01:20:39,804 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-12 01:20:40,957 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2022-07-12 01:20:41,810 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=fef23ae2-fe94-4724-878e-6a4a1fbe730c{ip: 172.25.0.103, host: 4901a75a02f1, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1238889786041, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-12 01:20:42,104 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=efcd7db8-fd0c-4e17-821b-82b0ee9a4e73{ip: 172.25.0.102, host: ozonesecure-ha_datanode1_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1239487255978, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-12 01:20:43,125 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=fef23ae2-fe94-4724-878e-6a4a1fbe730c, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:44,036 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=efcd7db8-fd0c-4e17-821b-82b0ee9a4e73, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:44,466 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=46b4dd83-0448-4dfc-b4d9-c2cc1a89ee52{ip: 172.25.0.104, host: ozonesecure-ha_datanode3_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 1241594867469, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-07-12 01:20:45,849 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=efcd7db8-fd0c-4e17-821b-82b0ee9a4e73, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:46,467 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=46b4dd83-0448-4dfc-b4d9-c2cc1a89ee52, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:47,090 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=efcd7db8-fd0c-4e17-821b-82b0ee9a4e73, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:48,280 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=46b4dd83-0448-4dfc-b4d9-c2cc1a89ee52, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:49,255 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=46b4dd83-0448-4dfc-b4d9-c2cc1a89ee52, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:52,226 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=efcd7db8-fd0c-4e17-821b-82b0ee9a4e73, command=[]} | ret=SUCCESS |  
2022-07-12 01:20:54,213 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=46b4dd83-0448-4dfc-b4d9-c2cc1a89ee52, command=[]} | ret=SUCCESS |  
