2022-08-09 16:01:01,828 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 16:01:01,890 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 16:01:02,776 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 16:01:04,214 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=4efbfe20-26c1-42da-b79c-412c610e00d3{ip: 172.25.0.102, host: ozonesecure-ha_datanode1_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 954244945095, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 16:01:04,237 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=370552bc-5b96-426e-99c5-bf0d1d72ae9f{ip: 172.25.0.103, host: ff13688be641, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 953297825622, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 16:01:05,837 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:06,017 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:06,451 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=a5eb4baf-6fdf-46f7-8747-68475f8443ff{ip: 172.25.0.104, host: ozonesecure-ha_datanode3_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 956902194885, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 16:01:08,372 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:10,231 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:11,205 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:15,867 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:16,117 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:19,375 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:20,749 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:21,117 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:21,523 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:26,047 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=a5eb4baf-6fdf-46f7-8747-68475f8443ff, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:33,064 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:36,785 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:37,470 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=4efbfe20-26c1-42da-b79c-412c610e00d3, command=[]} | ret=SUCCESS |  
2022-08-09 16:01:41,930 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=370552bc-5b96-426e-99c5-bf0d1d72ae9f, command=[]} | ret=SUCCESS |  
