2022-04-10 13:08:10,613 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=fc17b647-33a0-44d7-8b27-374b3c4e088d{ip: 172.25.0.102, host: 43d21781bc8d, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 983823537564, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-10 13:08:11,100 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=e1263173-db15-433a-86f5-d6733a65393c{ip: 172.25.0.104, host: ozonesecure-ha_datanode3_1.ozonesecure-ha_ozone_net, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 985450051656, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-10 13:08:11,811 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=5fbfb26c-dc94-43c2-be2a-73b136b6e738{ip: 172.25.0.103, host: 02be75287e76, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: 986945478263, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-04-10 13:08:11,867 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:13,361 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:15,073 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:16,544 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:16,581 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:21,480 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:22,033 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:23,588 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:26,238 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:27,105 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=5fbfb26c-dc94-43c2-be2a-73b136b6e738, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:27,717 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:28,371 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:42,258 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:42,312 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:43,043 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:47,281 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=e1263173-db15-433a-86f5-d6733a65393c, command=[]} | ret=SUCCESS |  
2022-04-10 13:08:48,159 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=fc17b647-33a0-44d7-8b27-374b3c4e088d, command=[]} | ret=SUCCESS |  
