2022-08-09 15:48:25,471 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 15:48:25,472 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 15:48:25,487 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=GET_VERSION null | ret=SUCCESS |  
2022-08-09 15:48:45,867 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=REGISTER {datanodeDetails=5234c9ba-4bb1-400f-9a93-f81afacd4814{ip: 172.18.0.7, host: ozone-ha_datanode_3.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 15:48:45,916 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=REGISTER {datanodeDetails=5b3cc844-047e-4d2e-b598-264dc2023341{ip: 172.18.0.5, host: ozone-ha_datanode_1.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 15:48:47,571 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=REGISTER {datanodeDetails=eb77a004-1f73-437d-9039-bc6da2273b4c{ip: 172.18.0.8, host: ozone-ha_datanode_2.ozone-ha_default, ports: [REPLICATION=9886, RATIS=9858, RATIS_ADMIN=9857, RATIS_SERVER=9856, STANDALONE=9859], networkLocation: /default-rack, certSerialId: null, persistedOpState: null, persistedOpStateExpiryEpochSec: 0}} | ret=SUCCESS |  
2022-08-09 15:48:47,776 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5234c9ba-4bb1-400f-9a93-f81afacd4814, command=[]} | ret=SUCCESS |  
2022-08-09 15:48:47,900 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5b3cc844-047e-4d2e-b598-264dc2023341, command=[]} | ret=SUCCESS |  
2022-08-09 15:48:48,922 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5b3cc844-047e-4d2e-b598-264dc2023341, command=[]} | ret=SUCCESS |  
2022-08-09 15:48:48,982 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5234c9ba-4bb1-400f-9a93-f81afacd4814, command=[]} | ret=SUCCESS |  
2022-08-09 15:48:49,264 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=eb77a004-1f73-437d-9039-bc6da2273b4c, command=[]} | ret=SUCCESS |  
2022-08-09 15:48:50,257 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.8 | op=SEND_HEARTBEAT {datanodeUUID=eb77a004-1f73-437d-9039-bc6da2273b4c, command=[]} | ret=SUCCESS |  
2022-08-09 15:48:53,692 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.7 | op=SEND_HEARTBEAT {datanodeUUID=5234c9ba-4bb1-400f-9a93-f81afacd4814, command=[]} | ret=SUCCESS |  
2022-08-09 15:48:53,825 | INFO  | SCMAudit | user=hadoop | ip=172.18.0.5 | op=SEND_HEARTBEAT {datanodeUUID=5b3cc844-047e-4d2e-b598-264dc2023341, command=[]} | ret=SUCCESS |  
